"wp_product_id","wp_event_id","name","price","stock_qty"
"780122","780114","Bilet Donatie","130","91"
"785512","785161","Categoria III","40",NULL
"785516","785161","Categoria II","50",NULL
"785517","785161","Categoria I","60",NULL
"785604","785192","Categoria III","40",NULL
"785606","785192","Categoria II","50",NULL
"785609","785192","Categoria I","60",NULL
"785887","785205","Categ.III","40",NULL
"785899","785205","Categ.II","50",NULL
"785900","785205","Categ.I","60",NULL
"835934","835902","21.03.26 Acces ora 12:00","40","150"
"835935","835902","21.03.26 Acces Grup ora 12:00","30","140"
