"wp_product_id","commission","min_qty","max_qty"
"758543","6%",,
"758563","6%",,
"758580","6%",,
"781435","5%",,
"785909","2,5",,
"785914","6%",,
"785915","6%",,
"789025",,,
"796069","6%",,
"810929","6%",,
"810930","6%",,
"810931","6%","2",
"821259","5,5%",,
"821378","6%",,
"826830","6%",,
"827598","6%",,
"827599","6%",,
"827601","6%",,
"828377","6%",,
"832254","6%",,
"834100","6%",,
"837453","5%",,
"839496","6%",,
"839520","6%",,
"840189",,,
"840557","6%",,
"842912",,,
"842917",,,
"842985",,,
"843066",,,
"843074",,,
"843086",,,
"843654","6%",,
"843753","6%",,
"843757","6%",,
"844298","6%",,
"844998","2","2",
"846081","6%",,
"848502","5%",,
"849609",,,
"849628",,,
"849641",,,
"849657",,,
"850016","6%",,
"850129","6%",,
"850796",,,
"850940","5%",,
"850966","6%",,
"851373","5%","2",
"851513","6%",,
"852953","6%","1","AMB"
"852973","6%","1","AMB"
"853026","5%",,
"853030","5%",,
"853895","5%",,
"853896","5%",,
"854176","6%",,
"854209","2",,
"854712","2",,
"854716","2","2",
"854803","5%",,
"855148","6%",,
"856396","6%",,
"856626","6%",,
"856781","5%",,
"856800","6%",,
"856820","2,5",,
"856890","6%",,
"856893","6%",,
"857297","2,5",,
"857935","5%",,
"857938","5%",,
"858068","5%",,
"858074","5%",,
"858076","5%",,
"858112","5%",,
"858113","5%",,
"858114","5%",,
"858224","6%",,
"858237",,,
"858238",,,
"858549","2",,
"859072","6%",,
"859073","1,5",,
"859077","6%",,
"859079","6%",,
"859925",,,
"859946","6%",,
"860058",,,
"860075","2,5",,
"860076","6%",,
"860092",,,
"860367","6%",,
"860396","6%",,
